257,265,270,259,273,7.61,-3.95,99.02
257,264,270,260,273,7.71,-3.91,97.56
256,264,270,259,274,7.80,-3.88,96.43
257,263,270,261,272,7.79,-3.93,95.56
257,264,269,259,272,7.76,-3.98,95.25
257,263,269,258,274,7.83,-3.80,96.15
257,263,269,261,272,7.64,-3.66,96.90
256,264,269,261,273,7.51,-3.65,97.44
257,263,270,261,276,7.51,-3.65,97.82
257,265,270,259,274,7.55,-3.50,98.05
256,265,269,260,275,7.59,-3.42,98.21
256,263,269,261,272,7.53,-3.44,98.32
256,264,270,260,273,7.51,-3.45,98.40
258,263,269,260,272,7.55,-3.50,98.47
258,264,269,260,273,7.70,-3.76,97.70
256,265,270,259,274,7.66,-4.03,96.78
256,264,270,260,274,7.72,-4.20,96.10
256,264,270,262,275,7.87,-4.34,95.59
256,264,271,260,273,8.00,-4.40,95.16
257,263,269,259,272,8.21,-4.33,94.80
255,264,269,258,270,8.39,-4.18,94.50
256,264,270,260,273,8.71,-4.04,94.23
256,264,269,259,273,8.86,-3.98,94.01
256,264,270,259,273,8.84,-3.96,93.85
256,265,269,261,274,9.00,-3.93,95.21
255,264,269,260,274,9.13,-3.93,96.26
255,264,271,259,271,9.15,-3.94,97.07
255,265,270,259,274,9.23,-4.05,97.75
255,264,269,260,272,9.40,-4.26,98.30
255,265,271,261,273,9.67,-4.61,98.53
254,265,272,263,270,10.41,-5.05,98.78
254,266,271,261,272,11.40,-5.27,98.94
256,265,272,262,272,12.29,-5.71,99.19
254,265,273,263,273,13.90,-6.00,99.70
253,265,274,265,272,17.92,-6.33,98.57
252,265,275,268,272,21.97,-7.40,97.84
252,266,278,274,272,28.30,-8.93,97.51
252,265,279,279,274,36.61,-9.41,97.03
253,264,277,280,276,45.91,-9.44,95.88
255,263,280,281,278,55.12,-7.95,93.24
257,262,281,283,276,62.58,-7.36,91.92
258,263,281,287,277,70.00,-7.55,91.00
262,267,281,289,277,77.28,-8.65,89.88
264,265,282,286,275,84.01,-12.67,89.50
270,268,283,285,274,88.76,-15.65,90.06
275,269,285,285,273,92.05,-17.37,90.65
281,274,288,285,273,94.91,-19.46,91.19
290,276,291,283,276,96.46,-19.91,92.06
303,278,293,284,278,98.75,-19.30,92.06
323,280,296,285,280,101.11,-19.31,91.56
345,281,300,285,282,103.22,-19.75,91.01
374,286,304,284,283,105.15,-20.53,89.96
406,292,308,282,279,107.41,-22.02,88.45
440,301,315,281,281,110.80,-24.19,86.37
473,307,320,281,281,113.16,-25.58,84.53
495,315,325,283,282,114.87,-27.41,82.43
512,322,330,283,285,116.62,-29.28,79.67
527,327,332,285,292,118.51,-31.25,75.81
552,330,335,286,295,120.19,-37.29,75.64
605,341,339,288,297,122.59,-41.79,74.32
640,349,343,289,299,124.24,-44.37,72.99
670,357,346,289,301,125.47,-47.05,71.44
688,359,350,289,303,128.16,-47.89,67.84
675,365,357,291,306,135.14,-45.31,58.06
666,368,359,292,304,139.70,-44.05,50.84
666,374,362,293,306,142.75,-43.21,44.68
656,372,366,293,307,145.01,-43.35,38.68
649,372,367,295,307,148.92,-43.60,32.03
636,375,368,297,309,154.29,-43.39,24.51
629,380,371,297,307,158.46,-43.79,17.66
626,386,373,297,308,162.42,-44.44,10.42
632,381,374,299,311,165.50,-45.09,3.49
633,383,372,297,310,168.43,-45.04,-4.03
633,387,373,298,311,171.90,-44.93,-11.78
637,385,374,299,310,174.78,-44.64,-19.01
636,388,374,300,312,178.21,-44.21,-26.23
635,390,376,299,313,-178.56,-43.57,-33.46
634,388,377,298,315,-173.89,-42.11,-48.81
638,388,378,299,313,-169.71,-40.18,-62.14
638,386,379,299,313,-166.74,-37.89,-73.19
637,386,381,299,311,-164.24,-36.05,-82.27
636,384,381,296,311,-162.48,-34.61,-88.86
634,381,381,296,308,-161.16,-33.64,-94.06
633,382,383,296,310,-159.78,-32.93,-98.01
631,383,386,295,308,-158.45,-32.32,-101.12
629,383,387,294,307,-157.36,-31.95,-103.33
627,382,386,294,306,-156.95,-31.80,-103.32
626,381,387,294,305,-156.63,-31.86,-101.31
626,380,386,293,306,-156.48,-31.86,-99.78
625,381,386,295,305,-156.77,-31.90,-98.30
624,380,387,293,303,-156.88,-31.93,-97.34
625,380,387,293,303,-156.68,-31.51,-100.02
622,380,388,294,302,-156.66,-31.18,-101.95
622,378,387,293,301,-156.75,-31.18,-103.39
621,378,389,292,301,-156.73,-31.37,-104.64
623,378,389,292,302,-156.59,-31.61,-105.70
624,379,389,292,301,-156.62,-31.91,-106.18
621,379,389,293,300,-156.75,-32.08,-106.55
618,380,389,292,300,-157.08,-32.22,-106.68
616,378,390,292,300,-157.52,-32.42,-106.71